[word: word_score, accumulated_score]
simple: 0.81, 0.81
stand: 0.01, 0.82
unless: -0.05, 0.77
made: -0.39, 0.38
equally: -0.27, 0.11
already: -0.32, -0.21
expensive: -0.45, -0.66
return: 0.51, -0.15
those: -0.38, -0.53
machine: -0.13, -0.66
comfortable: 2.22, 1.56
everything: 0.18, 1.74
figured: -0.30, 1.44
number: -0.03, 1.41
work: 0.40, 1.81
since: 0.24, 2.05
obviously: -0.21, 1.84
brand: 0.41, 2.25
working: 0.11, 2.36
new: -0.17, 2.19
should: 0.00, 2.19
basically: -0.64, 1.55
worth: 0.28, 1.83
weeks: 0.21, 2.04
significantly: 0.33, 2.37
buy: 0.11, 2.48
several: -0.43, 2.05
same: -0.34, 1.71
scale: 0.17, 1.88
scale: 0.17, 2.05
better: 0.06, 2.11
these: -0.85, 1.26
these: -0.85, 0.41
send: 0.21, 0.62

bad.txt score: 0.62
bad.txt Stars: 3
Total Word Count: 99
Words With Known Scores Found Count: 34
Percent Words w/ Scores Found: 34.34
